TransactionId,Timestamp,ItemName,Quantity,PricePaid,PaymentMethod,CustomerLoyaltyId
T10018,19:24,Ariel Detergent 2kg,1,950,Card,None
T10018,19:24,Lux Soap 150g,3,390,Card,None
T10019,21:05,Dalda Cooking Oil 5L,1,2250,Card,L5339
T10019,21:05,Lipton Yellow Label 380g,2,1360,Card,L5339
T10020,16:56,Lipton Yellow Label 380g,2,1360,Cash,L7475
T10021,10:24,Nestle Milkpak 1L,1,260,Cash,L8862
T10021,10:24,Coca Cola 1.5L,2,300,Cash,L8862
T10022,13:16,Dalda Cooking Oil 5L,2,4500,Cash,L7807
T10022,13:16,Lipton Yellow Label 380g,1,680,Cash,L7807
T10023,14:59,Nestle Milkpak 1L,1,260,Mobile Wallet,L4253
T10023,14:59,Ariel Detergent 2kg,2,1900,Mobile Wallet,L4253
T10024,09:50,Nestle Milkpak 1L,5,1300,Card,None
T10024,09:50,Lipton Yellow Label 380g,2,1360,Card,None
T10025,13:09,Nestle Milkpak 1L,1,260,Card,None
T10025,13:09,Coca Cola 1.5L,1,150,Card,None
T10026,00:22,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L8143
T10026,00:22,Lipton Yellow Label 380g,1,680,Mobile Wallet,L8143
T10027,08:14,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L5913
T10027,08:14,Lipton Yellow Label 380g,1,680,Mobile Wallet,L5913
T10027,08:14,National Chilli Powder 200g,1,210,Mobile Wallet,L5913
T10028,11:18,Lipton Yellow Label 380g,1,680,Card,None
T10029,09:10,Nestle Milkpak 1L,1,260,Card,None
T10029,09:10,Lipton Yellow Label 380g,2,1360,Card,None
T10030,21:27,Nestle Milkpak 1L,2,520,Mobile Wallet,L6021
T10030,21:27,Lipton Yellow Label 380g,1,680,Mobile Wallet,L6021
T10031,21:22,Lux Soap 150g,1,130,Card,L2648
T10031,21:22,Ariel Detergent 2kg,2,1900,Card,L2648
T10031,21:22,Dalda Cooking Oil 5L,2,4500,Card,L2648
T10032,21:44,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,None
T10032,21:44,Lipton Yellow Label 380g,1,680,Mobile Wallet,None
T10033,10:14,Dalda Cooking Oil 5L,2,4500,Card,L7367
T10033,10:14,Lipton Yellow Label 380g,1,680,Card,L7367
T10034,04:34,Dalda Cooking Oil 5L,1,2250,Card,None
T10034,04:34,Lipton Yellow Label 380g,1,680,Card,None
T10035,09:50,Surf Excel 1kg,2,920,Mobile Wallet,L6664
T10036,23:28,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L5886
T10036,23:28,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L5886
T10037,20:03,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L9105
T10037,20:03,Lipton Yellow Label 380g,1,680,Mobile Wallet,L9105
T10037,20:03,Nestle Milkpak 1L,1,260,Mobile Wallet,L9105
T10038,01:52,Nestle Milkpak 1L,3,780,Cash,L7313
T10038,01:52,Coca Cola 1.5L,2,300,Cash,L7313
T10039,17:46,National Chilli Powder 200g,1,210,Mobile Wallet,None
T10039,17:46,Surf Excel 1kg,1,460,Mobile Wallet,None
T10040,02:23,Ariel Detergent 2kg,2,1900,Cash,L7367
T10040,02:23,Nestle Milkpak 1L,2,520,Cash,L7367
T10040,02:23,Lipton Yellow Label 380g,2,1360,Cash,L7367
T10041,18:44,Dalda Cooking Oil 5L,1,2250,Cash,None
T10041,18:44,Lipton Yellow Label 380g,1,680,Cash,None
T10041,18:44,Shan Biryani Masala 50g,1,90,Cash,None
T10042,05:41,Dalda Cooking Oil 5L,2,4500,Cash,None
T10042,05:41,Lipton Yellow Label 380g,2,1360,Cash,None
T10043,20:58,Nestle Milkpak 1L,6,1560,Mobile Wallet,L9144
T10043,20:58,Shan Biryani Masala 50g,1,90,Mobile Wallet,L9144
T10044,18:22,Lipton Yellow Label 380g,1,680,Mobile Wallet,L1934
T10044,18:22,Nestle Milkpak 1L,2,520,Mobile Wallet,L1934
T10044,18:22,Ariel Detergent 2kg,1,950,Mobile Wallet,L1934
T10045,02:47,Nestle Milkpak 1L,2,520,Card,None
T10045,02:47,Olper's Cream 200ml,2,360,Card,None
T10046,23:45,Dalda Cooking Oil 5L,2,4500,Cash,L2150
T10046,23:45,Lipton Yellow Label 380g,1,680,Cash,L2150
T10047,18:22,Olper's Cream 200ml,2,360,Mobile Wallet,None
T10047,18:22,Shan Biryani Masala 50g,1,90,Mobile Wallet,None
T10047,18:22,Ariel Detergent 2kg,1,950,Mobile Wallet,None
T10048,23:48,Surf Excel 1kg,2,920,Card,L2726
T10048,23:48,Ariel Detergent 2kg,1,950,Card,L2726
T10048,23:48,Lux Soap 150g,1,130,Card,L2726
T10049,06:16,Surf Excel 1kg,1,460,Cash,L9840
T10049,06:16,Lux Soap 150g,1,130,Cash,L9840
T10050,05:48,Dalda Cooking Oil 5L,1,2250,Card,L6643
T10050,05:48,Lipton Yellow Label 380g,1,680,Card,L6643
T10050,05:48,Shan Biryani Masala 50g,1,90,Card,L6643
T10051,21:48,Nestle Milkpak 1L,1,260,Mobile Wallet,L4384
T10051,21:48,Olper's Cream 200ml,2,360,Mobile Wallet,L4384
T10052,23:51,Dalda Cooking Oil 5L,2,4500,Cash,L3337
T10052,23:51,Lipton Yellow Label 380g,2,1360,Cash,L3337
T10053,03:07,Surf Excel 1kg,1,460,Card,L6829
T10053,03:07,Ariel Detergent 2kg,1,950,Card,L6829
T10053,03:07,Lux Soap 150g,2,260,Card,L6829
T10054,14:58,Surf Excel 1kg,2,920,Cash,L1751
T10054,14:58,Ariel Detergent 2kg,1,950,Cash,L1751
T10055,01:37,Nestle Milkpak 1L,2,520,Card,None
T10055,01:37,Surf Excel 1kg,2,920,Card,None
T10056,22:59,Coca Cola 1.5L,1,150,Cash,L8359
T10057,00:44,Coca Cola 1.5L,2,300,Card,L2133
T10057,00:44,Dalda Cooking Oil 5L,1,2250,Card,L2133
T10057,00:44,Lipton Yellow Label 380g,2,1360,Card,L2133
T10058,19:44,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L6169
T10059,18:07,Nestle Milkpak 1L,5,1300,Mobile Wallet,None
T10059,18:07,Lux Soap 150g,2,260,Mobile Wallet,None
T10060,02:16,Dalda Cooking Oil 5L,2,4500,Cash,L4384
T10061,17:38,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,None
T10061,17:38,Lipton Yellow Label 380g,2,1360,Mobile Wallet,None
T10061,17:38,Olper's Cream 200ml,1,180,Mobile Wallet,None
T10062,18:06,Nestle Milkpak 1L,1,260,Card,L5039
T10062,18:06,Coca Cola 1.5L,1,150,Card,L5039
T10063,07:44,Nestle Milkpak 1L,2,520,Cash,None
T10063,07:44,Shan Biryani Masala 50g,1,90,Cash,None
T10064,15:00,Nestle Milkpak 1L,6,1560,Mobile Wallet,L7676
T10064,15:00,Ariel Detergent 2kg,2,1900,Mobile Wallet,L7676
T10065,04:16,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,L5339
T10065,04:16,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L5339
T10066,02:33,Nestle Milkpak 1L,2,520,Card,L5651
T10066,02:33,Surf Excel 1kg,1,460,Card,L5651
T10067,12:02,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,L4384
T10067,12:02,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L4384
T10067,12:02,Nestle Milkpak 1L,1,260,Mobile Wallet,L4384
T10068,18:17,Dalda Cooking Oil 5L,2,4500,Card,L8359
T10068,18:17,Lipton Yellow Label 380g,1,680,Card,L8359
T10069,16:42,Nestle Milkpak 1L,4,1040,Cash,L4851
T10069,16:42,Lipton Yellow Label 380g,2,1360,Cash,L4851
T10070,21:06,Surf Excel 1kg,2,920,Card,None
T10070,21:06,Ariel Detergent 2kg,1,950,Card,None
T10070,21:06,Lux Soap 150g,2,260,Card,None
T10071,03:42,Dalda Cooking Oil 5L,2,4500,Cash,None
T10071,03:42,Lipton Yellow Label 380g,1,680,Cash,None
T10071,03:42,Lux Soap 150g,1,130,Cash,None
T10072,06:31,Nestle Milkpak 1L,1,260,Card,None
T10072,06:31,Shan Biryani Masala 50g,2,180,Card,None
T10073,09:25,Coca Cola 1.5L,1,150,Card,L6488
T10074,07:55,Surf Excel 1kg,2,920,Mobile Wallet,L4296
T10074,07:55,Ariel Detergent 2kg,1,950,Mobile Wallet,L4296
T10074,07:55,Lux Soap 150g,3,390,Mobile Wallet,L4296
T10075,22:50,Dalda Cooking Oil 5L,1,2250,Cash,None
T10075,22:50,Lipton Yellow Label 380g,2,1360,Cash,None
T10076,10:42,Nestle Milkpak 1L,3,780,Cash,L9719
T10076,10:42,Ariel Detergent 2kg,2,1900,Cash,L9719
T10077,08:16,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,L6021
T10077,08:16,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L6021
T10078,17:53,Nestle Milkpak 1L,2,520,Card,L5564
T10078,17:53,Coca Cola 1.5L,2,300,Card,L5564
T10079,11:04,Dalda Cooking Oil 5L,1,2250,Card,None
T10079,11:04,Lipton Yellow Label 380g,1,680,Card,None
T10080,06:49,Nestle Milkpak 1L,1,260,Cash,L2723
T10080,06:49,National Chilli Powder 200g,2,420,Cash,L2723
T10080,06:49,Lipton Yellow Label 380g,2,1360,Cash,L2723
T10081,22:08,Dalda Cooking Oil 5L,2,4500,Cash,L1696
T10081,22:08,Lipton Yellow Label 380g,1,680,Cash,L1696
T10082,23:38,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L2648
T10082,23:38,Lipton Yellow Label 380g,1,680,Mobile Wallet,L2648
T10083,01:06,Nestle Milkpak 1L,4,1040,Mobile Wallet,L1328
T10083,01:06,Shan Biryani Masala 50g,2,180,Mobile Wallet,L1328
T10084,10:58,Dalda Cooking Oil 5L,2,4500,Card,L1751
T10084,10:58,Lipton Yellow Label 380g,1,680,Card,L1751
T10085,04:44,Nestle Milkpak 1L,3,780,Mobile Wallet,L9719
T10085,04:44,Surf Excel 1kg,1,460,Mobile Wallet,L9719
T10086,15:19,Olper's Cream 200ml,1,180,Card,L5652
T10087,00:59,Nestle Milkpak 1L,1,260,Cash,L6829
T10087,00:59,Shan Biryani Masala 50g,1,90,Cash,L6829
T10088,23:37,Surf Excel 1kg,2,920,Mobile Wallet,None
T10088,23:37,Ariel Detergent 2kg,1,950,Mobile Wallet,None
T10089,04:52,Nestle Milkpak 1L,1,260,Cash,L5047
T10089,04:52,Surf Excel 1kg,2,920,Cash,L5047
T10090,11:18,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L2373
T10090,11:18,Lipton Yellow Label 380g,1,680,Mobile Wallet,L2373
T10090,11:18,Lux Soap 150g,1,130,Mobile Wallet,L2373
T10091,10:45,Nestle Milkpak 1L,4,1040,Cash,L4877
T10091,10:45,Coca Cola 1.5L,2,300,Cash,L4877
T10092,04:56,Coca Cola 1.5L,2,300,Cash,L8167
T10093,07:16,Nestle Milkpak 1L,6,1560,Cash,L9719
T10093,07:16,Lipton Yellow Label 380g,2,1360,Cash,L9719
T10094,21:13,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L4851
T10094,21:13,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L4851
T10095,15:21,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,L3721
T10095,15:21,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L3721
T10095,15:21,Ariel Detergent 2kg,1,950,Mobile Wallet,L3721
T10096,11:30,Nestle Milkpak 1L,5,1300,Card,None
T10096,11:30,Coca Cola 1.5L,1,150,Card,None
T10097,06:10,Surf Excel 1kg,2,920,Cash,None
T10097,06:10,Ariel Detergent 2kg,1,950,Cash,None
T10097,06:10,Lux Soap 150g,1,130,Cash,None
T10098,01:53,Coca Cola 1.5L,1,150,Mobile Wallet,L9105
T10098,01:53,Shan Biryani Masala 50g,2,180,Mobile Wallet,L9105
T10098,01:53,Lux Soap 150g,1,130,Mobile Wallet,L9105
T10099,12:57,Nestle Milkpak 1L,1,260,Card,L1171
T10099,12:57,Surf Excel 1kg,1,460,Card,L1171
T10100,03:15,Surf Excel 1kg,2,920,Cash,None
T10100,03:15,Ariel Detergent 2kg,1,950,Cash,None
T10101,17:19,Nestle Milkpak 1L,6,1560,Mobile Wallet,None
T10102,09:21,Nestle Milkpak 1L,3,780,Card,L8359
T10102,09:21,Dalda Cooking Oil 5L,2,4500,Card,L8359
T10103,00:30,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L1781
T10103,00:30,Lipton Yellow Label 380g,1,680,Mobile Wallet,L1781
T10104,02:11,Shan Biryani Masala 50g,1,90,Card,L9471
T10104,02:11,Lipton Yellow Label 380g,1,680,Card,L9471
T10104,02:11,Dalda Cooking Oil 5L,2,4500,Card,L9471
T10105,15:21,Dalda Cooking Oil 5L,1,2250,Card,L5192
T10105,15:21,Lipton Yellow Label 380g,2,1360,Card,L5192
T10106,23:10,Surf Excel 1kg,1,460,Card,L1328
T10106,23:10,Ariel Detergent 2kg,1,950,Card,L1328
T10107,03:28,Nestle Milkpak 1L,3,780,Card,L6664
T10107,03:28,Ariel Detergent 2kg,1,950,Card,L6664
T10108,08:35,Nestle Milkpak 1L,2,520,Card,L7313
T10109,02:20,Nestle Milkpak 1L,1,260,Cash,None
T10109,02:20,Ariel Detergent 2kg,1,950,Cash,None
T10110,04:14,Nestle Milkpak 1L,1,260,Card,L1934
T10110,04:14,Surf Excel 1kg,2,920,Card,L1934
T10111,04:25,Nestle Milkpak 1L,6,1560,Card,L9790
T10112,13:50,Lipton Yellow Label 380g,2,1360,Cash,L8743
T10112,13:50,Surf Excel 1kg,2,920,Cash,L8743
T10112,13:50,National Chilli Powder 200g,2,420,Cash,L8743
T10113,23:29,Dalda Cooking Oil 5L,1,2250,Cash,L2295
T10113,23:29,Lipton Yellow Label 380g,1,680,Cash,L2295
T10114,02:53,National Chilli Powder 200g,2,420,Mobile Wallet,None
T10115,18:34,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,L9144
T10115,18:34,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L9144
T10116,21:23,Surf Excel 1kg,2,920,Cash,L7313
T10116,21:23,Ariel Detergent 2kg,1,950,Cash,L7313
T10116,21:23,Lux Soap 150g,1,130,Cash,L7313
T10117,02:16,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,None
T10117,02:16,Lipton Yellow Label 380g,1,680,Mobile Wallet,None
T10117,02:16,Coca Cola 1.5L,1,150,Mobile Wallet,None
T10118,15:22,Dalda Cooking Oil 5L,1,2250,Card,L8359
T10118,15:22,Lipton Yellow Label 380g,2,1360,Card,L8359
T10118,15:22,Shan Biryani Masala 50g,1,90,Card,L8359
T10119,02:26,Surf Excel 1kg,2,920,Mobile Wallet,L2458
T10119,02:26,Ariel Detergent 2kg,1,950,Mobile Wallet,L2458
T10120,07:25,Surf Excel 1kg,1,460,Card,L9105
T10120,07:25,Ariel Detergent 2kg,1,950,Card,L9105
T10121,18:46,Surf Excel 1kg,1,460,Cash,L3337
T10121,18:46,Ariel Detergent 2kg,1,950,Cash,L3337
T10122,09:29,Nestle Milkpak 1L,2,520,Mobile Wallet,L9957
T10122,09:29,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L9957
T10123,05:45,Surf Excel 1kg,1,460,Cash,None
T10123,05:45,Ariel Detergent 2kg,1,950,Cash,None
T10123,05:45,Lux Soap 150g,2,260,Cash,None
T10124,00:01,Nestle Milkpak 1L,4,1040,Cash,None
T10124,00:01,Olper's Cream 200ml,1,180,Cash,None
T10125,17:30,Shan Biryani Masala 50g,1,90,Cash,None
T10125,17:30,Dalda Cooking Oil 5L,2,4500,Cash,None
T10125,17:30,National Chilli Powder 200g,2,420,Cash,None
T10126,10:59,Nestle Milkpak 1L,6,1560,Card,L8496
T10126,10:59,Lipton Yellow Label 380g,2,1360,Card,L8496
T10127,14:06,Ariel Detergent 2kg,1,950,Mobile Wallet,L7807
T10127,14:06,Lux Soap 150g,1,130,Mobile Wallet,L7807
T10128,09:41,Surf Excel 1kg,1,460,Cash,L1751
T10128,09:41,Ariel Detergent 2kg,1,950,Cash,L1751
T10129,17:23,Dalda Cooking Oil 5L,2,4500,Cash,None
T10129,17:23,Lux Soap 150g,2,260,Cash,None
T10129,17:23,Nestle Milkpak 1L,2,520,Cash,None
T10130,05:56,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,None
T10130,05:56,Lipton Yellow Label 380g,2,1360,Mobile Wallet,None
T10131,15:59,Dalda Cooking Oil 5L,2,4500,Cash,None
T10131,15:59,Lipton Yellow Label 380g,2,1360,Cash,None
T10132,22:37,Surf Excel 1kg,2,920,Card,L7475
T10132,22:37,Ariel Detergent 2kg,1,950,Card,L7475
T10133,21:46,Dalda Cooking Oil 5L,1,2250,Cash,L8359
T10133,21:46,Lipton Yellow Label 380g,1,680,Cash,L8359
T10134,23:58,Nestle Milkpak 1L,6,1560,Cash,None
T10134,23:58,Lux Soap 150g,2,260,Cash,None
T10135,12:55,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,None
T10135,12:55,Lipton Yellow Label 380g,1,680,Mobile Wallet,None
T10135,12:55,Ariel Detergent 2kg,1,950,Mobile Wallet,None
T10136,06:12,Shan Biryani Masala 50g,1,90,Cash,L8143
T10136,06:12,Lipton Yellow Label 380g,1,680,Cash,L8143
T10136,06:12,Olper's Cream 200ml,1,180,Cash,L8143
T10137,04:41,Dalda Cooking Oil 5L,1,2250,Mobile Wallet,None
T10137,04:41,Lipton Yellow Label 380g,2,1360,Mobile Wallet,None
T10137,04:41,National Chilli Powder 200g,1,210,Mobile Wallet,None
T10138,07:32,Nestle Milkpak 1L,3,780,Cash,None
T10138,07:32,Shan Biryani Masala 50g,2,180,Cash,None
T10139,03:42,Surf Excel 1kg,1,460,Card,None
T10139,03:42,Ariel Detergent 2kg,1,950,Card,None
T10140,19:45,Surf Excel 1kg,2,920,Mobile Wallet,L1171
T10140,19:45,Ariel Detergent 2kg,1,950,Mobile Wallet,L1171
T10140,19:45,Lux Soap 150g,1,130,Mobile Wallet,L1171
T10141,22:44,Nestle Milkpak 1L,1,260,Cash,None
T10141,22:44,Coca Cola 1.5L,2,300,Cash,None
T10142,03:22,Dalda Cooking Oil 5L,1,2250,Card,L1171
T10142,03:22,Lipton Yellow Label 380g,2,1360,Card,L1171
T10143,23:03,Surf Excel 1kg,1,460,Mobile Wallet,L2133
T10143,23:03,Ariel Detergent 2kg,1,950,Mobile Wallet,L2133
T10144,17:00,Dalda Cooking Oil 5L,2,4500,Cash,L1342
T10144,17:00,Shan Biryani Masala 50g,1,90,Cash,L1342
T10145,06:19,Dalda Cooking Oil 5L,1,2250,Cash,L4125
T10145,06:19,Lipton Yellow Label 380g,2,1360,Cash,L4125
T10146,20:35,Nestle Milkpak 1L,4,1040,Cash,L9144
T10146,20:35,Olper's Cream 200ml,1,180,Cash,L9144
T10147,21:09,Surf Excel 1kg,2,920,Cash,L7322
T10147,21:09,Ariel Detergent 2kg,1,950,Cash,L7322
T10148,07:18,Coca Cola 1.5L,1,150,Card,L2648
T10148,07:18,Nestle Milkpak 1L,1,260,Card,L2648
T10148,07:18,Shan Biryani Masala 50g,1,90,Card,L2648
T10149,03:36,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,L2099
T10149,03:36,Lipton Yellow Label 380g,2,1360,Mobile Wallet,L2099
T10149,03:36,Lux Soap 150g,1,130,Mobile Wallet,L2099
T10150,04:34,Surf Excel 1kg,1,460,Mobile Wallet,L8535
T10150,04:34,Ariel Detergent 2kg,1,950,Mobile Wallet,L8535
T10151,02:48,Olper's Cream 200ml,2,360,Mobile Wallet,L5710
T10151,02:48,Ariel Detergent 2kg,1,950,Mobile Wallet,L5710
T10152,00:58,Dalda Cooking Oil 5L,2,4500,Card,L4635
T10152,00:58,Lipton Yellow Label 380g,2,1360,Card,L4635
T10153,11:50,Dalda Cooking Oil 5L,2,4500,Card,L7621
T10153,11:50,Lipton Yellow Label 380g,1,680,Card,L7621
T10154,14:42,Nestle Milkpak 1L,3,780,Card,L2726
T10154,14:42,Lipton Yellow Label 380g,2,1360,Card,L2726
T10155,18:49,Dalda Cooking Oil 5L,1,2250,Cash,None
T10155,18:49,Lipton Yellow Label 380g,2,1360,Cash,None
T10156,19:13,Nestle Milkpak 1L,5,1300,Cash,None
T10156,19:13,Lipton Yellow Label 380g,1,680,Cash,None
T10157,16:18,Surf Excel 1kg,1,460,Card,L3396
T10157,16:18,Ariel Detergent 2kg,1,950,Card,L3396
T10158,05:26,Dalda Cooking Oil 5L,1,2250,Card,L1934
T10158,05:26,Lipton Yellow Label 380g,1,680,Card,L1934
T10159,13:23,Surf Excel 1kg,2,920,Cash,None
T10159,13:23,Ariel Detergent 2kg,1,950,Cash,None
T10159,13:23,Lux Soap 150g,3,390,Cash,None
T10160,04:01,Dalda Cooking Oil 5L,2,4500,Cash,None
T10160,04:01,Lipton Yellow Label 380g,1,680,Cash,None
T10161,13:48,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,L4753
T10161,13:48,Lipton Yellow Label 380g,1,680,Mobile Wallet,L4753
T10162,19:40,Nestle Milkpak 1L,6,1560,Mobile Wallet,L2904
T10162,19:40,Olper's Cream 200ml,2,360,Mobile Wallet,L2904
T10163,12:33,Nestle Milkpak 1L,2,520,Card,L2726
T10163,12:33,Dalda Cooking Oil 5L,2,4500,Card,L2726
T10164,10:16,Nestle Milkpak 1L,1,260,Card,L7921
T10164,10:16,Shan Biryani Masala 50g,2,180,Card,L7921
T10165,13:53,Nestle Milkpak 1L,1,260,Mobile Wallet,L2295
T10165,13:53,Surf Excel 1kg,1,460,Mobile Wallet,L2295
T10166,09:18,Shan Biryani Masala 50g,1,90,Cash,L6488
T10166,09:18,Nestle Milkpak 1L,1,260,Cash,L6488
T10167,16:47,Nestle Milkpak 1L,5,1300,Card,L1751
T10167,16:47,Olper's Cream 200ml,2,360,Card,L1751
T10168,05:16,Nestle Milkpak 1L,6,1560,Cash,L7322
T10168,05:16,Surf Excel 1kg,2,920,Cash,L7322
T10169,16:33,Surf Excel 1kg,1,460,Mobile Wallet,L3721
T10169,16:33,Ariel Detergent 2kg,1,950,Mobile Wallet,L3721
T10169,16:33,Lux Soap 150g,1,130,Mobile Wallet,L3721
T10170,21:35,Olper's Cream 200ml,1,180,Mobile Wallet,None
T10170,21:35,Coca Cola 1.5L,1,150,Mobile Wallet,None
T10170,21:35,Lipton Yellow Label 380g,2,1360,Mobile Wallet,None
T10171,10:56,Lux Soap 150g,1,130,Mobile Wallet,None
T10172,12:45,Surf Excel 1kg,2,920,Cash,L6643
T10172,12:45,Ariel Detergent 2kg,1,950,Cash,L6643
T10172,12:45,Lux Soap 150g,3,390,Cash,L6643
T10173,04:39,Lux Soap 150g,1,130,Mobile Wallet,None
T10173,04:39,Dalda Cooking Oil 5L,2,4500,Mobile Wallet,None
T10173,04:39,Coca Cola 1.5L,1,150,Mobile Wallet,None
T10174,14:49,National Chilli Powder 200g,2,420,Mobile Wallet,None
T10174,14:49,Nestle Milkpak 1L,2,520,Mobile Wallet,None
T10174,14:49,Olper's Cream 200ml,1,180,Mobile Wallet,None
T10175,11:24,Dalda Cooking Oil 5L,1,2250,Cash,L6488
T10175,11:24,Lipton Yellow Label 380g,1,680,Cash,L6488
T10176,12:13,Dalda Cooking Oil 5L,2,4500,Cash,L5047
T10177,15:07,Dalda Cooking Oil 5L,1,2250,Card,L2295
T10177,15:07,Lipton Yellow Label 380g,1,680,Card,L2295
T10178,11:22,Dalda Cooking Oil 5L,2,4500,Card,None
T10178,11:22,Lipton Yellow Label 380g,1,680,Card,None
T10178,11:22,Lux Soap 150g,1,130,Card,None
T10179,06:48,Dalda Cooking Oil 5L,2,4500,Cash,L5039
T10179,06:48,Lipton Yellow Label 380g,1,680,Cash,L5039
T10180,00:31,Dalda Cooking Oil 5L,1,2250,Cash,L4253
T10180,00:31,Lipton Yellow Label 380g,2,1360,Cash,L4253
T10181,02:07,Surf Excel 1kg,1,460,Cash,L2648
T10181,02:07,Ariel Detergent 2kg,1,950,Cash,L2648
T10182,17:42,Dalda Cooking Oil 5L,1,2250,Card,L7313
T10182,17:42,Lipton Yellow Label 380g,1,680,Card,L7313
T10183,05:03,Dalda Cooking Oil 5L,1,2250,Cash,L1696
T10183,05:03,Lipton Yellow Label 380g,1,680,Cash,L1696
T10184,10:39,Nestle Milkpak 1L,5,1300,Cash,L9790
T10184,10:39,Lipton Yellow Label 380g,1,680,Cash,L9790
T10185,22:01,Nestle Milkpak 1L,1,260,Cash,L7313
T10186,04:51,Dalda Cooking Oil 5L,1,2250,Card,L8280
T10186,04:51,Lipton Yellow Label 380g,1,680,Card,L8280
T10186,04:51,Olper's Cream 200ml,1,180,Card,L8280
T10187,12:30,Surf Excel 1kg,1,460,Mobile Wallet,L8496
T10187,12:30,Ariel Detergent 2kg,1,950,Mobile Wallet,L8496
T10188,00:52,Nestle Milkpak 1L,5,1300,Mobile Wallet,None
